Name,Class,Position,Height,Hometown,High School,team_id,team_name,conference_id,conference_name,school_url,school_athletic_url,state,division,year,team_short,conference_short,Number
Emma Thackery,Sr.,OH,5-6,,,4,Adrian College,873.0,Michigan Intercol. Ath. Assn.,www.adrian.edu,www.adrianbulldogs.com,MI,D-III,2024-25,Adrian,Michigan Intercol. Ath. Assn.,1
Amelia McCombs,Jr.,L/DS,5-6,,,4,Adrian College,873.0,Michigan Intercol. Ath. Assn.,www.adrian.edu,www.adrianbulldogs.com,MI,D-III,2024-25,Adrian,Michigan Intercol. Ath. Assn.,11
Chloe Kiser,So.,S,5-9,,,4,Adrian College,873.0,Michigan Intercol. Ath. Assn.,www.adrian.edu,www.adrianbulldogs.com,MI,D-III,2024-25,Adrian,Michigan Intercol. Ath. Assn.,2
Phoebe Scott,Jr.,L/DS,5-6,,,4,Adrian College,873.0,Michigan Intercol. Ath. Assn.,www.adrian.edu,www.adrianbulldogs.com,MI,D-III,2024-25,Adrian,Michigan Intercol. Ath. Assn.,25
Apryl Kruse,So.,OH,6-0,,,4,Adrian College,873.0,Michigan Intercol. Ath. Assn.,www.adrian.edu,www.adrianbulldogs.com,MI,D-III,2024-25,Adrian,Michigan Intercol. Ath. Assn.,23
Kendall Sullivan,So.,DS,5-6,,,4,Adrian College,873.0,Michigan Intercol. Ath. Assn.,www.adrian.edu,www.adrianbulldogs.com,MI,D-III,2024-25,Adrian,Michigan Intercol. Ath. Assn.,3
Kayla Chan,Jr.,MH,6-1,,,4,Adrian College,873.0,Michigan Intercol. Ath. Assn.,www.adrian.edu,www.adrianbulldogs.com,MI,D-III,2024-25,Adrian,Michigan Intercol. Ath. Assn.,5
Megan Feldmann,Jr.,OH,6-1,,,4,Adrian College,873.0,Michigan Intercol. Ath. Assn.,www.adrian.edu,www.adrianbulldogs.com,MI,D-III,2024-25,Adrian,Michigan Intercol. Ath. Assn.,33
Jasmine Kiser,So.,DS,5-9,,,4,Adrian College,873.0,Michigan Intercol. Ath. Assn.,www.adrian.edu,www.adrianbulldogs.com,MI,D-III,2024-25,Adrian,Michigan Intercol. Ath. Assn.,7
Brenna Kosal,Jr.,S,5-6,,,4,Adrian College,873.0,Michigan Intercol. Ath. Assn.,www.adrian.edu,www.adrianbulldogs.com,MI,D-III,2024-25,Adrian,Michigan Intercol. Ath. Assn.,31
